varname,varlabel,vartype,keep,is_factor,discretize,brr,round,type,restricted,reserve
X1PAR2OCC2,X1 Parent 2: current/most recent occupation: 2-digit ONET code,BY student level composites,0,0,0,0,BY,X1,0,
X1PAR2OCC6,X1 Parent 2: current/most recent occupation: 6-digit ONET code,BY student level composites,0,0,0,0,BY,X1,1,
X1PAR2OCC_STEM1,X1 Parent 2: current/most recent occupation: STEM code 1 (sub-domain),BY student level composites,0,0,0,0,BY,X1,0,
X1PAR2OCC_STEM2,X1 Parent 2: current/most recent occupation: STEM code 2 (type of occupation),BY student level composites,0,0,0,0,BY,X1,1,
X1PAR2RACE,X1 Parent 2: race/ethnicity,BY student level composites,0,0,0,0,BY,X1,0,
X1PAREDU,X1 Parents'/guardians' highest level of education,BY student level composites,1,1,0,0,BY,X1,0,8
X1PARPATTERN,X1 P1-P2 relationship pattern,BY student level composites,0,0,0,0,BY,X1,0,
X1MOMRESP,X1 Whether parent questionnaire respondent is mother,BY student level composites,1,1,0,0,BY,X1,0,8
X1MOMREL,X1 Mother/female guardian's relationship to 9th grader,BY student level composites,1,1,0,0,BY,X1,0,8
X1MOMEDU,X1 Mother's/female guardian's highest level of education,BY student level composites,1,1,0,0,BY,X1,0,8
X1MOMEMP,X1 Mother/female guardian's employment status,BY student level composites,1,1,0,0,BY,X1,0,8
X1MOMOCC2,X1 Mother/female guardian's current/most recent occupation: 2-digit ONET code,BY student level composites,1,1,0,0,BY,X1,0,78
X1MOMOCC6,X1 Mother/female guardian's current/most recent occupation: 6-digit ONET code,BY student level composites,0,0,0,0,BY,X1,1,
X1MOMOCC_STEM1,X1 Mother/female guardian's current/most recent occupation: STEM code 1 (sub-domain),BY student level composites,0,0,0,0,BY,X1,0,
X1MOMOCC_STEM2,X1 Mother/female guardian's current/most recent occupation: STEM code 2 (type of occupation),BY student level composites,0,0,0,0,BY,X1,1,
X1MOMRACE,X1 Mother's race/ethnicity,BY student level composites,1,1,0,0,BY,X1,0,89
X1DADRESP,X1 Whether parent questionnaire respondent is father,BY student level composites,1,1,0,0,BY,X1,0,8
X1DADREL,X1 Father/male guardian's relationship to 9th grader,BY student level composites,1,1,0,0,BY,X1,0,8
X1DADEDU,X1 Father's/male guardian's highest level of education,BY student level composites,1,1,0,0,BY,X1,0,8
X1DADEMP,X1 Father/male guardian's employment status,BY student level composites,1,1,0,0,BY,X1,0,8
X1DADOCC2,X1 Father/male guardian's current/most recent occupation: 2-digit ONET code,BY student level composites,1,1,0,0,BY,X1,0,78
X1DADOCC6,X1 Father/male guardian's current/most recent occupation: 6-digit ONET code,BY student level composites,0,0,0,0,BY,X1,1,
X1DADOCC_STEM1,X1 Father/male guardian's current/most recent occupation: STEM code 1 (sub-domain),BY student level composites,0,0,0,0,BY,X1,0,
X1DADOCC_STEM2,X1 Father/male guardian's current/most recent occupation: STEM code 2 (type of occupation),BY student level composites,0,0,0,0,BY,X1,1,
X1DADRACE,X1 Father's race/ethnicity,BY student level composites,1,1,0,0,BY,X1,0,89
X1HHNUMBER,X1 Number of 2009 household members,BY student level composites,1,1,0,0,BY,X1,0,8
X1FAMINCOME,X1 Total family income from all sources 2008,BY student level composites,1,1,0,0,BY,X1,0,8
X1POVERTY,X1 Poverty indicator (relative to 100% of Census poverty threshold),BY student level composites,1,1,0,0,BY,X1,0,8
X1POVERTY130,X1 Poverty indicator (relative to 130% of Census poverty threshold),BY student level composites,1,1,0,0,BY,X1,0,8
X1POVERTY185,X1 Poverty indicator (relative to 185% of Census poverty threshold),BY student level composites,1,1,0,0,BY,X1,0,8
X1SES,X1 Socio-economic status composite,BY student level composites,1,0,0,0,BY,X1,0,
X1SESQ5,X1 Quintile coding of X1SES composite,BY student level composites,0,0,0,0,BY,X1,0,
X1SES_U,X1 Socio-economic status composite derived with locale (urbanicity),BY student level composites,0,0,0,0,BY,X1,0,
X1SESQ5_U,X1 Quintile coding of X1SES_U composite derived with locale (urbanicity),BY student level composites,0,0,0,0,BY,X1,0,
X1MTHID,X1 Scale of student's mathematics identity,BY student level composites,1,0,0,0,BY,X1,0,9
X1MTHUTI,X1 Scale of student's mathematics utility,BY student level composites,1,0,0,0,BY,X1,0,79
X1MTHEFF,X1 Scale of student's mathematics self-efficacy,BY student level composites,1,0,0,0,BY,X1,0,79
X1MTHINT,X1 Scale of student's interest in fall 2009 math course,BY student level composites,1,0,0,0,BY,X1,0,79
X1SCIID,X1 Scale of student's science identity,BY student level composites,1,0,0,0,BY,X1,0,9
X1SCIUTI,X1 Scale of student's science utility,BY student level composites,1,0,0,0,BY,X1,0,79
X1SCIEFF,X1 Scale of student's science self-efficacy,BY student level composites,1,0,0,0,BY,X1,0,79
X1SCIINT,X1 Scale of student's interest in fall 2009 science course,BY student level composites,1,0,0,0,BY,X1,0,79
X1SCHOOLBEL,X1 Scale of student's sense of school belonging,BY student level composites,1,0,0,0,BY,X1,0,9
X1SCHOOLENG,X1 Scale of student's school engagement,BY student level composites,1,0,0,0,BY,X1,0,9
X1STU30OCC2,X1 Student occupation at age 30: 2-digit ONET code,BY student level composites,1,1,0,0,BY,X1,1,9
X1STU30OCC6,X1 Student occupation at age 30: 6-digit ONET code,BY student level composites,0,0,0,0,BY,X1,0,
X1STU30OCC_STEM1,X1 Student occupation at age 30: STEM code 1 (sub-domain),BY student level composites,0,0,0,0,BY,X1,0,
X1STU30OCC_STEM2,X1 Student occupation at age 30: STEM code 2 (type of occupation),BY student level composites,0,0,0,0,BY,X1,1,
X1STUEDEXPCT,X1 How far in school 9th grader thinks he/she will get,BY student level composites,1,1,0,0,BY,X1,0,
X1PAREDEXPCT,X1 How far in school parent thinks 9th grader will go,BY student level composites,1,1,0,0,BY,X1,0,8
X1STUPRVSCHL_R,X1 School student attended last year (2008-2009): 12-digit NCESID from CCD/PSS (REVISED),BY student level composites,0,0,0,0,BY,X1,1,
X1IEPFLAG,X1 Individualized Education Plan,BY student level composites,1,1,0,0,BY,X1,0,9
X1TESTSTAT,X1 Student mathematics assessment status,BY student level composites,0,0,0,0,BY,X1,0,
X1TESTDATE,X1 Student mathematics assessment date (YYYYMM),BY student level composites,0,0,0,0,BY,X1,0,
X1SQSTAT,X1 Student questionnaire status,BY student level composites,0,0,0,0,BY,X1,0,
X1SQDATE,X1 Student questionnaire date (YYYYMM),BY student level composites,0,0,0,0,BY,X1,0,
X1SQINCAPABL,X1 Student questionnaire incapable,BY student level composites,0,0,0,0,BY,X1,1,
X1PQSTAT,X1 Parent questionnaire status,BY student level composites,0,0,0,0,BY,X1,0,
X1PQDATE,X1 Parent questionnaire date (YYYYMM),BY student level composites,0,0,0,0,BY,X1,0,
X1PQLANG,X1 Parent questionnaire language (English v. Spanish),BY student level composites,1,1,0,0,BY,X1,0,8
X1TMQSTAT,X1 Math teacher questionnaire status,BY student level composites,0,0,0,0,BY,X1,0,
X1TMQDATE,X1 Math teacher questionnaire date (YYYYMM),BY student level composites,0,0,0,0,BY,X1,0,
X1TMLINK,X1 Student to math teacher link descriptor,BY student level composites,0,0,0,0,BY,X1,0,
X1TMCRSLINK,X1 Student to math teacher course-level link descriptor,BY student level composites,0,0,0,0,BY,X1,0,
X1TMRACE,X1 Math teacher's race/ethnicity-composite,BY student level composites,1,1,0,0,BY,X1,0,789
X1TMCERT,X1 Math teacher's math teaching certification,BY student level composites,1,1,0,0,BY,X1,0,789
X1TMCOMM,X1 Scale of math teacher's perceptions of math professional learning community,BY student level composites,1,0,0,0,BY,X1,0,789
X1TMEFF,X1 Scale of math teacher's self-efficacy,BY student level composites,1,0,0,0,BY,X1,0,789
X1TMEXP,X1 Scale of math teacher's perceptions of math teachers' expectations,BY student level composites,1,0,0,0,BY,X1,0,789
X1TMPRINC,X1 Scale of math teacher's perceptions of principal support,BY student level composites,1,0,0,0,BY,X1,0,789
X1TMRESP,X1 Scale of math teacher's perceptions of collective responsibility,BY student level composites,1,0,0,0,BY,X1,0,789
X1TSQSTAT,X1 Science teacher questionnaire status,BY student level composites,0,0,0,0,BY,X1,0,
X1TSQDATE,X1 Science teacher questionnaire date (YYYYMM),BY student level composites,0,0,0,0,BY,X1,0,
X1TSLINK,X1 Student to science teacher link descriptor,BY student level composites,0,0,0,0,BY,X1,0,
X1TSCRSLINK,X1 Student to science teacher course-level link descriptor,BY student level composites,0,0,0,0,BY,X1,0,
X1TSRACE,X1 Science teacher race/ethnicity-composite,BY student level composites,1,1,0,0,BY,X1,0,789
X1TSCERT,X1 Science teacher's science teaching certification,BY student level composites,1,1,0,0,BY,X1,0,789
X1TSCOMM,X1 Scale of science teacher's perceptions of science professional learning community,BY student level composites,1,0,0,0,BY,X1,0,789
X1TSEFF,X1 Scale of science teacher's self-efficacy,BY student level composites,1,0,0,0,BY,X1,0,789
X1TSEXP,X1 Scale of science teacher's perceptions of science teachers expectations,BY student level composites,1,0,0,0,BY,X1,0,789
X1TSPRINC,X1 Scale of science teacher's perceptions of principal support,BY student level composites,1,0,0,0,BY,X1,0,789
X1TSRESP,X1 Scale of science teacher's perceptions of collective responsibility,BY student level composites,1,0,0,0,BY,X1,0,789
X1CONTROL,X1 School control,BY student level composites,1,1,0,0,BY,X1,0,
X1LOCALE,X1 School locale (urbanicity),BY student level composites,1,1,0,0,BY,X1,0,
X1REGION,X1 School geographic region,BY student level composites,1,1,0,0,BY,X1,0,
X1CENDIV,X1 School census geographic division,BY student level composites,0,0,0,0,BY,X1,1,
X1STATESAMPL,X1 State level public school sample membership,BY student level composites,0,0,0,0,BY,X1,1,
X1STATE,X1 State code for school,BY student level composites,0,0,0,0,BY,X1,1,
X1GRADESPAN,X1 Grade span of school-administrator questionnaire,BY student level composites,0,0,0,0,BY,X1,1,
X1FREELUNCH,X1 Grade 9 percent free lunch-categorical,BY student level composites,0,0,0,0,BY,X1,1,
X1REPEAT9TH,X1 Percent of 9th graders repeating 9th grade,BY student level composites,0,0,0,0,BY,X1,1,
X1SCHAMIND,X1 Percent of students in school that are American Indian,BY student level composites,0,0,0,0,BY,X1,1,
X1SCHASIAN,X1 Percent of students in school that are Asian,BY student level composites,0,0,0,0,BY,X1,1,
X1SCHBLACK,X1 Percent of students in school that are Black,BY student level composites,0,0,0,0,BY,X1,1,
X1SCHHISP,X1 Percent of students in school that are Hispanic/Latino/Latina,BY student level composites,0,0,0,0,BY,X1,1,
X1SCHWHITE,X1 Percent of students in school that are White,BY student level composites,0,0,0,0,BY,X1,1,
X1SCHOOLCLI,X1 Scale of administrator's assessment of school climate,BY student level composites,1,0,0,0,BY,X1,0,89
X1COUPERTEA,X1 Scale of counselor's perceptions of teacher expectations,BY student level composites,1,0,0,0,BY,X1,0,89
X1COUPERCOU,X1 Scale of counselor's perceptions of counselor expectations,BY student level composites,1,0,0,0,BY,X1,0,89
X1COUPERPRI,X1 Scale of counselor's perceptions of principal's expectations,BY student level composites,1,0,0,0,BY,X1,0,89
X1AQSTAT,X1 administrator questionnaire status,BY student level composites,0,0,0,0,BY,X1,0,
X1AQDATE,X1 administrator questionnaire date (YYYYMM),BY student level composites,0,0,0,0,BY,X1,0,
X1AQDESIGNEE,X1 administrator questionnaire designee respondent (designee resp v. no designee),BY student level composites,0,0,0,0,BY,X1,0,
X1CQSTAT,X1 counselor questionnaire status,BY student level composites,0,0,0,0,BY,X1,0,
X1CQDATE,X1 counselor questionnaire date (YYYYMM),BY student level composites,0,0,0,0,BY,X1,0,
X2ENROLSTAT,X2 Student enrollment status,F1 student level composites,1,1,0,0,F1,X2,0,
X2ENRSTATSCH,X2 School provided student enrollment status,F1 student level composites,0,0,0,0,F1,X2,0,
X2EVERDROP,X2 Ever dropout,F1 student level composites,1,1,0,0,F1,X2,0,
X2DROPSTAT,X2 F1 dropout status,F1 student level composites,1,1,0,0,F1,X2,0,
X2SEX,X2 Student's sex,F1 student level composites,0,0,0,0,F1,X2,0,
X2RACE,X2 Student's race/ethnicity-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2HISPANIC,X2 Student is Hispanic/Latino/Latina-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2WHITE,X2 Student is White-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2BLACK,X2 Student is Black or African American-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2ASIAN,X2 Student is Asian-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2PACISLE,X2 Student is Native Hawaiian/Pacific Islander-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2AMINDIAN,X2 Student is American Indian/Alaska Native-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2HISPTYPE,X2 Student's Hispanic/Latino/Latina subgroup-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2ASIANTYPE,X2 Student's Asian subgroup-composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2NATIVELANG,X2 Student's native language,F1 student level composites,0,0,0,0,F1,X2,0,
X2DUALLANG,X2 Student dual-first language indicator,F1 student level composites,0,0,0,0,F1,X2,0,
X2STDOB,X2 Student's date of birth (YYYYMM),F1 student level composites,0,0,0,0,F1,X2,0,
X2SAMEPAR1,X2 Same parent 1 as in the base year,F1 student level composites,1,1,0,0,F1,X2,0,8
X2SAMEPAR2,X2 Same parent 2 as in the base year,F1 student level composites,1,1,0,0,F1,X2,0,78
X2NUMHS,X2 Number of high schools attended,F1 student level composites,1,0,0,0,F1,X2,0,
X2TXMTH,X2 Mathematics theta score,F1 student level composites,1,0,0,0,F1,X2,0,8
X2TXMSEM,X2 Mathematics standard error of measurement for raw theta score,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMSCR,X2 Mathematics IRT-estimated number right score (of ## first follow-up items),F1 student level composites,0,0,0,0,F1,X2,0,
X2X1TXMSCR,X2 Mathematics IRT-estimated number right score at time of base year (of 118 first follow-up items),F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMTSCOR,X2 Mathematics standardized theta score,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMQUINT,X2 Mathematics quintile score,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMPROF1,X2 Mathematics proficiency probability score: level 1,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMPROF2,X2 Mathematics proficiency probability score: level 2,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMPROF3,X2 Mathematics proficiency probability score: level 3,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMPROF4,X2 Mathematics proficiency probability score: level 4,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMPROF5,X2 Mathematics proficiency probability score: level 5,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMPROF6,X2 Mathematics proficiency probability score: level 6 ** New Level **,F1 student level composites,0,0,0,0,F1,X2,0,
X2TXMPROF7,X2 Mathematics proficiency probability score: level 7 ** New Level **,F1 student level composites,0,0,0,0,F1,X2,0,
X2MACC,X2 Mathematics assessment accommodations,F1 student level composites,1,1,0,0,F1,X2,0,8
X2PARRESP,X2 Whether parent questionnaire respondent is Parent 1,F1 student level composites,0,0,0,0,F1,X2,0,
X2P1RELATION,X2 Parent 1: relationship to sample member,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR1EDU,X2 Parent 1: highest level of education,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR1EMP,X2 Parent 1: employment status,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR1OCC2,X2 Parent 1: current/most recent occupation: 2-digit ONET code,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR1OCC6,X2 Parent 1: current/most recent occupation: 6-digit ONET code,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR1OCC_STEM1,X2 Parent 1: current/most recent occupation: STEM code 1 (sub-domain),F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR1OCC_STEM2,X2 Parent 1: current/most recent occupation: STEM code 2 (type of occupation),F1 student level composites,0,0,0,0,F1,X2,1,
X2PAR1RACE,X2 Parent 1: race/ethnicity,F1 student level composites,0,0,0,0,F1,X2,0,
X2P2RELATION,X2 Parent 2: spouse's relationship to sample member,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR2EDU,X2 Parent 2: highest level of education,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR2EMP,X2 Parent 2: employment status,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR2OCC2,X2 Parent 2: current/most recent occupation: 2-digit ONET code,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR2OCC6,X2 Parent 2: current/most recent occupation: 6-digit ONET code,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR2OCC_STEM1,X2 Parent 2: current/most recent occupation: STEM code 1 (sub-domain),F1 student level composites,0,0,0,0,F1,X2,0,
X2PAR2OCC_STEM2,X2 Parent 2: current/most recent occupation: STEM code 2 (type of occupation),F1 student level composites,0,0,0,0,F1,X2,1,
X2PAR2RACE,X2 Parent 2: race/ethnicity,F1 student level composites,0,0,0,0,F1,X2,0,
X2PAREDU,X2 Parents'/guardians' highest level of education,F1 student level composites,1,1,0,0,F1,X2,0,8
X2PARPATTERN,X2 P1-P2 relationship pattern,F1 student level composites,0,0,0,0,F1,X2,0,
X2MOMRESP,X2 Whether parent questionnaire respondent is mother,F1 student level composites,1,1,0,0,F1,X2,0,89
X2MOMREL,X2 Mother/female guardian's relationship to sample member,F1 student level composites,1,1,0,0,F1,X2,0,8
X2MOMEDU,X2 Mother's/female guardian's highest level of education,F1 student level composites,1,1,0,0,F1,X2,0,8
X2MOMEMP,X2 Mother/female guardian's employment status,F1 student level composites,1,1,0,0,F1,X2,0,8
X2MOMOCC2,X2 Mother/female guardian's current/most recent occupation: 2-digit ONET code,F1 student level composites,1,1,0,0,F1,X2,0,78
X2MOMOCC6,X2 Mother/female guardian's current/most recent occupation: 6-digit ONET code,F1 student level composites,0,0,0,0,F1,X2,0,
X2MOMOCC_STEM1,X2 Mother/female guardian's current/most recent occupation: STEM code 1 (sub-domain),F1 student level composites,0,0,0,0,F1,X2,0,
X2MOMOCC_STEM2,X2 Mother/female guardian's current/most recent occupation: STEM code 2 (type of occupation),F1 student level composites,0,0,0,0,F1,X2,1,
X2MOMRACE,X2 Mother's race/ethnicity,F1 student level composites,1,1,0,0,F1,X2,0,89
X2DADRESP,X2 Whether parent questionnaire respondent is father,F1 student level composites,1,1,0,0,F1,X2,0,89
X2DADREL,X2 Father/male guardian's relationship to sample member,F1 student level composites,1,1,0,0,F1,X2,0,8
X2DADEDU,X2 Father's/male guardian's highest level of education,F1 student level composites,1,1,0,0,F1,X2,0,8
X2DADEMP,X2 Father/male guardian's employment status,F1 student level composites,1,1,0,0,F1,X2,0,8
X2DADOCC2,X2 Father/male guardian's current/most recent occupation: 2-digit ONET code,F1 student level composites,1,1,0,0,F1,X2,0,78
X2DADOCC6,X2 Father/male guardian's current/most recent occupation: 6-digit ONET code,F1 student level composites,0,0,0,0,F1,X2,0,
X2DADOCC_STEM1,X2 Father/male guardian's current/most recent occupation: STEM code 1 (sub-domain),F1 student level composites,0,0,0,0,F1,X2,0,
X2DADOCC_STEM2,X2 Father/male guardian's current/most recent occupation: STEM code 2 (type of occupation),F1 student level composites,0,0,0,0,F1,X2,1,
X2DADRACE,X2 Father's race/ethnicity,F1 student level composites,1,1,0,0,F1,X2,0,89
X2HHNUMBER,X2 Number of 2012 household members,F1 student level composites,1,1,0,0,F1,X2,0,8
X2FAMINCOME,X2 Total family income from all sources 2011,F1 student level composites,1,1,0,0,F1,X2,0,8
X2POVERTY,X2 Poverty indicator (relative to 100% of Census poverty threshold),F1 student level composites,1,1,0,0,F1,X2,0,8
X2POVERTY130,X2 Poverty indicator (relative to 130% of Census poverty threshold),F1 student level composites,1,1,0,0,F1,X2,0,8
X2POVERTY185,X2 Poverty indicator (relative to 185% of Census poverty threshold),F1 student level composites,1,1,0,0,F1,X2,0,8
X2SES,X2 Socio-economic status composite,F1 student level composites,1,0,1,0,F1,X2,0,8
X2SESQ5,X2 Quintile coding of X2SES composite,F1 student level composites,0,0,0,0,F1,X2,0,
X2SES_U,X2 Socio-economic status composite derived with locale (urbanicity),F1 student level composites,0,0,0,0,F1,X2,0,
X2SESQ5_U,X2 Quintile coding of X2SES_U composite derived with locale (urbanicity),F1 student level composites,0,0,0,0,F1,X2,0,
